Label,Count,Wing_Area
MP_MalKopp1.1_B3_1_M__09.tif,122,G3
MP_MalKopp1.1_B3_1_M__10.tif,91,A1
MP_MalKopp1.1_B3_1_M__10.tif,83,A2
MP_MalKopp1.1_B3_1_M__10.tif,94,B1
MP_MalKopp1.1_B3_1_M__10.tif,102,B2
MP_MalKopp1.1_B3_1_M__10.tif,102,B3
MP_MalKopp1.1_B3_1_M__10.tif,77,C1
MP_MalKopp1.1_B3_1_M__10.tif,98,C2
MP_MalKopp1.1_B3_1_M__10.tif,114,C3
MP_MalKopp1.1_B3_1_M__10.tif,105,E1
MP_MalKopp1.1_B3_1_M__10.tif,105,E2
MP_MalKopp1.1_B3_1_M__10.tif,97,F1
MP_MalKopp1.1_B3_1_M__10.tif,96,F2
MP_MalKopp1.1_B3_1_M__10.tif,123,F3
MP_MalKopp1.1_B3_1_M__10.tif,144,G1
MP_MalKopp1.1_B3_1_M__10.tif,83,G2
MP_MalKopp1.1_B3_1_M__10.tif,104,G3
MP_MalKopp1.1_B3_1_M__11.tif,99,A1
MP_MalKopp1.1_B3_1_M__11.tif,108,A2
MP_MalKopp1.1_B3_1_M__11.tif,110,B1
MP_MalKopp1.1_B3_1_M__11.tif,106,B2
MP_MalKopp1.1_B3_1_M__11.tif,113,B3
MP_MalKopp1.1_B3_1_M__11.tif,91,C1
MP_MalKopp1.1_B3_1_M__11.tif,110,C2
MP_MalKopp1.1_B3_1_M__11.tif,129,C3
MP_MalKopp1.1_B3_1_M__11.tif,126,E1
MP_MalKopp1.1_B3_1_M__11.tif,127,E2
MP_MalKopp1.1_B3_1_M__11.tif,121,F1
MP_MalKopp1.1_B3_1_M__11.tif,112,F2
MP_MalKopp1.1_B3_1_M__11.tif,148,F3
MP_MalKopp1.1_B3_1_M__11.tif,142,G1
MP_MalKopp1.1_B3_1_M__11.tif,95,G2
MP_MalKopp1.1_B3_1_M__11.tif,129,G3
MP_MalKopp1.1_B3_1_M__12.tif,79,A1
MP_MalKopp1.1_B3_1_M__12.tif,99,A2
MP_MalKopp1.1_B3_1_M__12.tif,91,B1
MP_MalKopp1.1_B3_1_M__12.tif,79,B2
MP_MalKopp1.1_B3_1_M__12.tif,91,B3
MP_MalKopp1.1_B3_1_M__12.tif,77,C1
MP_MalKopp1.1_B3_1_M__12.tif,85,C2
