Label,Count,Wing_Area
MP_BipKopp1.1_B3_1_F__18.tif,75,B1
MP_BipKopp1.1_B3_1_F__18.tif,69,B2
MP_BipKopp1.1_B3_1_F__18.tif,86,B3
MP_BipKopp1.1_B3_1_F__18.tif,76,C1
MP_BipKopp1.1_B3_1_F__18.tif,91,C2
MP_BipKopp1.1_B3_1_F__18.tif,108,C3
MP_BipKopp1.1_B3_1_F__18.tif,87,E1
MP_BipKopp1.1_B3_1_F__18.tif,79,E2
MP_BipKopp1.1_B3_1_F__18.tif,95,F1
MP_BipKopp1.1_B3_1_F__18.tif,84,F2
MP_BipKopp1.1_B3_1_F__18.tif,95,F3
MP_BipKopp1.1_B3_1_F__18.tif,122,G1
MP_BipKopp1.1_B3_1_F__18.tif,74,G2
MP_BipKopp1.1_B3_1_F__18.tif,99,G3
MP_BipKopp1.1_B3_1_F__19.tif,71,A1
MP_BipKopp1.1_B3_1_F__19.tif,57,A2
MP_BipKopp1.1_B3_1_F__19.tif,81,B1
MP_BipKopp1.1_B3_1_F__19.tif,87,B2
MP_BipKopp1.1_B3_1_F__19.tif,83,B3
MP_BipKopp1.1_B3_1_F__19.tif,80,C1
MP_BipKopp1.1_B3_1_F__19.tif,89,C2
MP_BipKopp1.1_B3_1_F__19.tif,112,C3
MP_BipKopp1.1_B3_1_F__19.tif,91,E1
MP_BipKopp1.1_B3_1_F__19.tif,99,E2
MP_BipKopp1.1_B3_1_F__19.tif,101,F1
MP_BipKopp1.1_B3_1_F__19.tif,93,F2
MP_BipKopp1.1_B3_1_F__19.tif,106,F3
MP_BipKopp1.1_B3_1_F__19.tif,111,G1
MP_BipKopp1.1_B3_1_F__19.tif,70,G2
MP_BipKopp1.1_B3_1_F__19.tif,117,G3
MP_BipKopp1.1_B3_1_F__20.tif,81,A1
MP_BipKopp1.1_B3_1_F__20.tif,72,A2
MP_BipKopp1.1_B3_1_F__20.tif,85,B1
MP_BipKopp1.1_B3_1_F__20.tif,90,B2
MP_BipKopp1.1_B3_1_F__20.tif,94,B3
MP_BipKopp1.1_B3_1_F__20.tif,79,C1
MP_BipKopp1.1_B3_1_F__20.tif,96,C2
MP_BipKopp1.1_B3_1_F__20.tif,109,C3
MP_BipKopp1.1_B3_1_F__20.tif,103,E1
MP_BipKopp1.1_B3_1_F__20.tif,96,E2
MP_BipKopp1.1_B3_1_F__20.tif,100,F1
MP_BipKopp1.1_B3_1_F__20.tif,101,F2
MP_BipKopp1.1_B3_1_F__20.tif,102,F3
MP_BipKopp1.1_B3_1_F__20.tif,100,G1
MP_BipKopp1.1_B3_1_F__20.tif,81,G2
MP_BipKopp1.1_B3_1_F__20.tif,99,G3
MP_BipKopp1.1_B3_1_F__21.tif,97,A1
MP_BipKopp1.1_B3_1_F__21.tif,91,A2
MP_BipKopp1.1_B3_1_F__21.tif,122,B1
MP_BipKopp1.1_B3_1_F__21.tif,146,B2
MP_BipKopp1.1_B3_1_F__21.tif,124,B3
MP_BipKopp1.1_B3_1_F__21.tif,134,C1
MP_BipKopp1.1_B3_1_F__21.tif,160,C2
MP_BipKopp1.1_B3_1_F__21.tif,177,C3
MP_BipKopp1.1_B3_1_F__21.tif,117,E1
MP_BipKopp1.1_B3_1_F__21.tif,129,E2
MP_BipKopp1.1_B3_1_F__21.tif,143,F1
MP_BipKopp1.1_B3_1_F__21.tif,139,F2
MP_BipKopp1.1_B3_1_F__21.tif,120,F3
MP_BipKopp1.1_B3_1_F__21.tif,134,G1
MP_BipKopp1.1_B3_1_F__21.tif,173,G2
MP_BipKopp1.1_B3_1_F__21.tif,104,G3
MP_BipKopp1.1_B3_1_M__01.tif,99,A1
MP_BipKopp1.1_B3_1_M__01.tif,92,A2
MP_BipKopp1.1_B3_1_M__01.tif,102,B1
MP_BipKopp1.1_B3_1_M__01.tif,80,B2
MP_BipKopp1.1_B3_1_M__01.tif,112,B3
MP_BipKopp1.1_B3_1_M__01.tif,86,C1
MP_BipKopp1.1_B3_1_M__01.tif,94,C2
MP_BipKopp1.1_B3_1_M__01.tif,120,C3
MP_BipKopp1.1_B3_1_M__01.tif,107,E1
MP_BipKopp1.1_B3_1_M__01.tif,108,E2
MP_BipKopp1.1_B3_1_M__01.tif,101,F1
MP_BipKopp1.1_B3_1_M__01.tif,98,F2
MP_BipKopp1.1_B3_1_M__01.tif,119,F3
MP_BipKopp1.1_B3_1_M__01.tif,141,G1
MP_BipKopp1.1_B3_1_M__01.tif,102,G2
MP_BipKopp1.1_B3_1_M__01.tif,89,G3
MP_BipKopp1.1_B3_1_M__02.tif,115,A1
MP_BipKopp1.1_B3_1_M__02.tif,99,A2
MP_BipKopp1.1_B3_1_M__02.tif,95,B1
